"Date","Price","Open","High","Low","Vol.","Change %"
"19/06/2024","70.74","68.74","70.81","68.50","20.84K","3.45%"
"18/06/2024","68.38","68.26","69.25","67.72","25.05K","0.32%"
"17/06/2024","68.16","68.70","69.21","67.63","22.76K","-0.54%"
"14/06/2024","68.53","70.75","71.09","68.18","32.67K","-3.30%"
"13/06/2024","70.87","70.30","71.99","70.30","18.92K","0.81%"
"12/06/2024","70.30","70.45","71.75","69.97","20.42K","-0.16%"
"11/06/2024","70.41","70.80","72.17","69.87","22.85K","-0.71%"
"10/06/2024","70.91","71.14","71.20","69.29","27.32K","-0.71%"
"07/06/2024","71.42","71.78","71.88","71.02","14.70K","-0.15%"
"06/06/2024","71.53","71.82","72.98","71.25","19.25K","-0.65%"
"05/06/2024","72.00","72.72","73.26","70.96","25.06K","-0.80%"
"04/06/2024","72.58","74.52","74.71","72.27","29.74K","-2.75%"
"03/06/2024","74.63","74.44","77.80","74.25","29.51K","0.76%"
"31/05/2024","74.07","75.48","76.42","73.85","19.01K","-1.50%"
"30/05/2024","75.20","73.66","75.84","73.37","19.23K","1.69%"
"29/05/2024","73.95","74.50","75.60","72.95","21.29K","-0.87%"
"28/05/2024","74.60","75.99","76.24","74.15","20.35K","-2.50%"
"27/05/2024","76.51","75.70","76.99","75.58","11.68K","0.96%"
"24/05/2024","75.78","76.10","76.70","73.90","20.91K","-0.42%"
"23/05/2024","76.10","76.50","78.10","75.52","28.44K","-0.74%"
"22/05/2024","76.67","75.83","77.50","75.50","26.14K","0.62%"
"21/05/2024","76.20","74.18","76.64","73.05","27.58K","2.64%"
"20/05/2024","74.24","71.00","74.90","71.00","28.80K","5.28%"
"17/05/2024","70.52","70.50","71.52","69.60","19.40K","-0.38%"
"16/05/2024","70.79","69.09","71.27","68.88","19.43K","2.31%"
"15/05/2024","69.19","70.20","71.83","69.09","22.11K","-1.30%"
"14/05/2024","70.10","70.02","71.32","69.02","15.41K","0.04%"
"13/05/2024","70.07","71.33","71.49","68.75","24.98K","-2.12%"
"10/05/2024","71.59","73.50","75.50","71.28","22.20K","-2.76%"
"09/05/2024","73.62","71.40","74.08","71.13","14.64K","2.36%"
"08/05/2024","71.92","71.03","72.70","69.61","21.90K","1.51%"
"07/05/2024","70.85","73.25","74.30","70.57","31.16K","-3.83%"
"06/05/2024","73.67","71.74","74.49","71.52","18.25K","2.55%"
"03/05/2024","71.84","72.69","74.55","71.45","25.96K","-1.17%"
"02/05/2024","72.69","67.88","73.18","67.25","38.25K","7.04%"
"01/05/2024","67.91","69.19","69.26","67.35","12.26K","-1.86%"
"30/04/2024","69.20","65.95","69.60","65.38","26.24K","5.17%"
"29/04/2024","65.80","67.00","67.35","65.01","18.42K","-2.53%"
"26/04/2024","67.51","68.21","69.20","66.57","18.84K","-1.32%"
"25/04/2024","68.41","67.00","69.92","66.54","27.09K","2.33%"
"24/04/2024","66.85","66.25","67.45","64.80","22.73K","0.71%"
"23/04/2024","66.38","66.39","67.21","65.34","22.88K","-0.03%"
"22/04/2024","66.40","68.00","68.19","66.02","25.67K","-3.09%"
"19/04/2024","68.52","72.57","73.30","68.13","28.40K","-4.23%"
"18/04/2024","71.55","69.90","72.22","68.15","31.33K","1.73%"
"17/04/2024","70.33","74.13","74.48","69.24","37.88K","-5.28%"
"16/04/2024","74.25","70.26","74.90","69.87","36.63K","5.83%"
"15/04/2024","70.16","71.55","71.64","69.12","29.52K","-2.07%"
"12/04/2024","71.64","68.60","71.81","68.07","46.29K","4.08%"
"11/04/2024","68.83","62.98","68.92","62.81","47.86K","9.51%"
"10/04/2024","62.85","63.82","65.07","62.30","25.55K","-1.74%"
"09/04/2024","63.96","63.39","64.64","62.53","27.84K","0.90%"
"08/04/2024","63.39","60.72","63.77","59.69","32.01K","3.90%"
"05/04/2024","61.01","58.87","61.15","58.26","25.37K","4.49%"
"04/04/2024","58.39","57.50","59.24","57.10","22.26K","1.46%"
"03/04/2024","57.55","59.29","59.43","56.91","23.14K","-2.29%"
"02/04/2024","58.90","61.22","61.50","58.56","27.64K","-4.89%"
"28/03/2024","61.93","62.50","62.89","61.32","","-1.09%"
"27/03/2024","62.61","62.50","63.31","61.08","22.31K","-0.62%"
"26/03/2024","63.00","64.45","65.74","62.16","33.89K","-2.84%"
"25/03/2024","64.84","61.69","65.49","61.68","33.71K","5.43%"
"22/03/2024","61.50","59.10","62.06","58.80","24.38K","3.59%"
"21/03/2024","59.37","60.04","60.26","58.80","22.93K","-1.07%"
"20/03/2024","60.01","61.30","61.46","59.99","21.68K","-2.12%"
"19/03/2024","61.31","61.30","62.87","59.65","26.86K","-0.18%"
"18/03/2024","61.42","59.50","62.32","59.50","33.59K","3.44%"
"15/03/2024","59.38","58.90","60.25","58.14","27.06K","0.99%"
"14/03/2024","58.80","55.85","59.18","55.08","30.35K","5.24%"
"13/03/2024","55.87","56.86","57.90","55.65","23.40K","-1.98%"
"12/03/2024","57.00","56.26","57.08","55.24","26.90K","1.55%"
"11/03/2024","56.13","58.22","58.24","55.80","28.03K","-4.05%"
"08/03/2024","58.50","59.00","60.20","57.80","22.80K","-1.58%"
"07/03/2024","59.44","58.79","61.09","57.40","36.11K","1.11%"
"06/03/2024","58.79","60.25","62.80","58.09","44.52K","-2.02%"
"05/03/2024","60.00","57.28","61.23","56.73","48.66K","4.75%"
"04/03/2024","57.28","56.40","57.77","53.50","33.98K","1.72%"
"01/03/2024","56.31","56.50","56.84","55.08","22.85K","-0.23%"
"29/02/2024","56.44","57.53","57.81","55.25","27.04K","-1.35%"
"28/02/2024","57.21","56.21","58.87","55.45","38.36K","2.23%"
"27/02/2024","55.96","53.76","56.14","52.45","30.42K","3.96%"
"26/02/2024","53.83","52.11","54.52","51.55","23.89K","2.51%"
"23/02/2024","52.51","52.90","53.01","51.12","26.23K","-0.15%"
"22/02/2024","52.59","54.48","54.48","52.37","22.36K","-3.52%"
"21/02/2024","54.51","54.05","54.98","53.28","18.58K","0.55%"
"20/02/2024","54.21","53.50","55.04","51.86","30.45K","2.01%"
"19/02/2024","53.14","57.11","57.11","52.90","29.61K","-6.95%"
"16/02/2024","57.11","57.95","58.21","56.29","20.13K","-1.45%"
"15/02/2024","57.95","56.44","59.05","56.13","28.07K","2.68%"
"14/02/2024","56.44","56.43","57.57","55.41","23.61K","-0.37%"
"13/02/2024","56.65","57.20","57.89","55.65","23.80K","-0.96%"
"12/02/2024","57.20","58.64","58.80","56.59","24.58K","-2.72%"
"09/02/2024","58.80","60.50","60.50","58.20","26.39K","-3.15%"
"08/02/2024","60.71","62.50","62.50","60.27","26.07K","-2.58%"
"07/02/2024","62.32","63.35","63.68","62.25","17.67K","-1.84%"
"06/02/2024","63.49","62.79","63.97","62.00","19.28K","1.44%"
"05/02/2024","62.59","63.80","64.31","62.07","19.16K","-1.43%"
"02/02/2024","63.50","62.05","64.37","61.90","17.96K","1.89%"
"01/02/2024","62.32","64.16","64.87","62.10","22.15K","-3.23%"
"31/01/2024","64.40","63.92","65.14","62.94","21.32K","0.59%"
"30/01/2024","64.02","61.63","64.02","61.30","22.87K","3.64%"
"29/01/2024","61.77","63.60","64.06","61.58","22.58K","-2.11%"
"26/01/2024","63.10","63.15","65.03","62.10","21.96K","-0.49%"
"25/01/2024","63.41","66.43","66.43","62.90","25.61K","-3.63%"
"24/01/2024","65.80","63.36","66.10","63.16","25.09K","4.00%"
"23/01/2024","63.27","62.00","63.80","61.60","20.28K","1.38%"
"22/01/2024","62.41","63.03","63.03","60.86","21.64K","-1.59%"
"19/01/2024","63.42","63.37","64.23","62.93","15.14K","0.22%"
"18/01/2024","63.28","63.09","64.13","62.50","18.19K","-0.05%"
"17/01/2024","63.31","65.39","66.07","62.86","25.63K","-3.33%"
"16/01/2024","65.49","66.98","67.40","65.05","22.43K","-2.11%"
"15/01/2024","66.90","66.00","67.46","64.61","22.19K","4.86%"
"12/01/2024","63.80","66.93","66.93","63.00","0.51K","-3.27%"
"11/01/2024","65.96","67.67","67.70","65.20","1.06K","-2.60%"
"10/01/2024","67.72","70.30","70.50","67.47","0.75K","-3.12%"
"09/01/2024","69.90","69.50","70.73","69.25","0.48K","-0.09%"
"08/01/2024","69.96","73.68","73.75","69.89","0.78K","-5.42%"
"05/01/2024","73.97","73.32","74.54","73.18","0.38K","0.26%"
"04/01/2024","73.78","75.45","76.10","73.10","1.39K","-2.17%"
"03/01/2024","75.42","74.20","75.58","74.20","0.21K","1.80%"
"02/01/2024","74.09","78.17","78.22","73.04","0.69K","-4.99%"
"29/12/2023","77.98","78.00","78.61","77.28","","0.05%"
"28/12/2023","77.94","77.69","78.02","76.98","0.94K","0.26%"
"27/12/2023","77.74","77.27","78.57","77.08","0.96K","1.04%"
"22/12/2023","76.94","75.88","77.08","75.00","0.45K","1.40%"
"21/12/2023","75.88","73.50","76.42","73.50","0.82K","3.66%"
"20/12/2023","73.20","69.75","73.55","69.75","1.45K","4.93%"
"19/12/2023","69.76","69.99","69.99","68.75","1.04K","0.22%"
"18/12/2023","69.61","68.26","71.38","67.03","4.27K","3.02%"
"15/12/2023","67.57","66.76","67.82","66.22","12.69K","1.26%"
"14/12/2023","66.73","69.12","70.16","65.99","23.65K","-3.12%"
"13/12/2023","68.88","68.21","69.98","68.01","26.59K","0.94%"
"12/12/2023","68.24","67.30","68.60","66.88","23.04K","1.34%"
"11/12/2023","67.34","68.50","68.50","66.26","29.08K","-1.87%"
"08/12/2023","68.62","70.00","70.76","68.45","22.24K","-1.93%"
"07/12/2023","69.97","68.86","70.19","68.65","22.52K","1.46%"
"06/12/2023","68.96","69.11","70.00","68.37","23.02K","0.07%"
"05/12/2023","68.91","70.72","70.88","68.42","30.66K","-2.16%"
"04/12/2023","70.43","72.03","72.08","70.15","31.64K","-2.79%"
"01/12/2023","72.45","70.79","73.13","70.57","21.53K","2.68%"
"30/11/2023","70.56","70.55","71.71","70.44","26.25K","-0.31%"
"29/11/2023","70.78","72.33","73.25","70.56","28.53K","-2.37%"
"28/11/2023","72.50","73.04","73.71","72.01","23.92K","-0.78%"
"27/11/2023","73.07","76.34","76.50","72.79","28.36K","-4.43%"
"24/11/2023","76.46","76.68","77.19","76.00","13.70K","-0.14%"
"23/11/2023","76.57","75.30","77.22","74.88","20.68K","1.96%"
"22/11/2023","75.10","75.37","76.20","74.88","18.87K","-0.15%"
"21/11/2023","75.21","76.61","76.71","75.08","16.44K","-1.89%"
"20/11/2023","76.66","76.63","77.80","76.15","15.54K","0.56%"
"17/11/2023","76.23","77.09","77.68","76.02","15.96K","-1.26%"
"16/11/2023","77.20","79.80","79.89","76.49","23.12K","-3.26%"
"15/11/2023","79.80","78.57","80.27","78.57","20.26K","1.57%"
"14/11/2023","78.57","77.39","79.09","76.60","19.81K","1.99%"
"13/11/2023","77.04","78.50","78.92","76.17","19.75K","-1.86%"
"10/11/2023","78.50","77.69","78.85","76.29","18.97K","1.55%"
"09/11/2023","77.30","75.65","77.69","75.19","22.23K","2.52%"
"08/11/2023","75.40","75.28","76.38","74.84","19.63K","0.05%"
"07/11/2023","75.36","75.71","76.50","74.86","21.35K","-0.69%"
"06/11/2023","75.88","77.48","77.48","75.60","18.33K","-1.71%"
"03/11/2023","77.20","78.61","79.70","77.10","19.75K","-2.35%"
"02/11/2023","79.06","78.35","79.20","76.24","34.24K","0.51%"
"01/11/2023","78.66","79.40","80.16","78.37","19.68K","-0.94%"
"31/10/2023","79.41","78.65","79.50","78.15","21.72K","0.80%"
"30/10/2023","78.78","79.45","80.98","78.48","24.81K","-0.73%"
"27/10/2023","79.36","79.64","80.36","79.30","15.86K","-0.28%"
"26/10/2023","79.58","79.94","80.71","79.49","18.95K","-0.44%"
"25/10/2023","79.93","80.74","80.98","79.75","18.43K","-0.91%"
"24/10/2023","80.66","80.26","81.34","80.21","17.18K","0.45%"
"23/10/2023","80.30","81.39","81.50","80.06","17.53K","-1.68%"
"20/10/2023","81.67","81.98","82.50","81.05","15.05K","-0.40%"
"19/10/2023","82.00","81.70","82.24","80.84","17.07K","0.26%"
"18/10/2023","81.79","82.61","83.35","81.52","15.86K","-1.04%"
"17/10/2023","82.65","83.29","83.66","81.45","16.43K","-0.91%"
"16/10/2023","83.41","85.58","85.93","82.99","18.29K","-2.63%"
"13/10/2023","85.66","85.23","86.60","84.73","22.82K","0.25%"
"12/10/2023","85.45","83.78","85.69","83.50","16.72K","1.99%"
"11/10/2023","83.78","84.68","85.03","83.50","21.43K","-1.13%"
"10/10/2023","84.74","81.87","85.06","81.60","26.15K","3.81%"
"09/10/2023","81.63","80.65","81.96","80.00","16.51K","1.25%"
"06/10/2023","80.62","80.85","81.15","80.00","12.05K","-0.30%"
"05/10/2023","80.86","81.85","82.37","80.30","15.01K","-1.17%"
"04/10/2023","81.82","79.87","82.39","79.56","20.90K","2.53%"
"03/10/2023","79.80","80.70","80.91","79.52","23.91K","-1.12%"
"02/10/2023","80.70","81.42","81.66","80.62","14.76K","-0.92%"
"29/09/2023","81.45","83.00","83.24","81.42","11.38K","-2.00%"
"28/09/2023","83.11","81.83","83.24","81.82","11.32K","1.53%"
"27/09/2023","81.86","83.00","83.05","81.61","14.84K","-0.79%"
"26/09/2023","82.51","84.99","85.13","82.51","16.30K","-2.80%"
"25/09/2023","84.89","85.95","85.95","84.77","14.09K","-0.48%"
"22/09/2023","85.30","83.94","86.05","83.65","18.47K","1.03%"
"21/09/2023","84.43","82.70","84.61","81.70","16.17K","2.02%"
"20/09/2023","82.76","81.60","82.97","80.51","18.19K","1.80%"
"19/09/2023","81.30","80.97","81.69","80.55","12.94K","0.52%"
"18/09/2023","80.88","82.18","82.65","80.74","16.52K","-1.49%"
"15/09/2023","82.10","82.88","84.09","81.86","14.31K","-1.00%"
"14/09/2023","82.93","83.71","84.07","82.45","14.48K","-0.99%"
"13/09/2023","83.76","81.25","83.83","80.57","22.49K","3.25%"
"12/09/2023","81.12","81.85","82.41","80.98","17.50K","-0.75%"
"11/09/2023","81.73","81.79","82.51","81.36","13.80K","0.13%"
"08/09/2023","81.62","83.52","84.00","81.28","17.11K","-2.01%"
"07/09/2023","83.29","83.67","84.28","82.67","16.85K","-0.49%"
"06/09/2023","83.70","83.95","84.81","83.11","15.69K","-0.25%"
"05/09/2023","83.91","84.18","84.81","83.60","16.54K","-0.20%"
"04/09/2023","84.08","85.63","85.63","83.75","13.97K","-1.82%"
"01/09/2023","85.64","86.03","86.32","85.00","11.95K","-0.45%"
"31/08/2023","86.03","86.10","87.28","85.58","11.31K","0.03%"
"30/08/2023","86.00","84.91","86.63","84.64","13.34K","1.18%"
"29/08/2023","85.00","85.72","86.49","84.52","12.48K","-0.70%"
"28/08/2023","85.60","85.40","86.50","84.79","8.13K","0.41%"
"25/08/2023","85.25","85.06","86.42","84.50","13.46K","0.05%"
"24/08/2023","85.21","87.35","87.35","85.10","18.77K","-3.17%"
"23/08/2023","88.00","89.96","90.23","87.35","19.87K","-2.23%"
"22/08/2023","90.01","87.85","90.39","87.76","19.57K","2.46%"
"21/08/2023","87.85","88.62","88.70","86.86","11.65K","-0.23%"
"18/08/2023","88.05","88.68","89.09","87.27","12.86K","-0.90%"
"17/08/2023","88.85","88.60","89.87","87.70","15.80K","0.30%"
"16/08/2023","88.58","87.64","88.89","87.35","15.60K","1.97%"
"15/08/2023","86.87","88.23","88.60","86.70","13.02K","-1.23%"
"14/08/2023","87.95","86.57","88.13","86.00","13.26K","1.32%"
"11/08/2023","86.80","84.90","86.92","84.00","10.94K","2.66%"
"10/08/2023","84.55","84.24","85.21","83.03","12.82K","0.77%"
"09/08/2023","83.90","84.34","85.82","83.50","17.02K","-0.08%"
"08/08/2023","83.97","82.70","84.47","82.31","14.58K","1.61%"
"07/08/2023","82.64","83.55","84.56","82.56","13.37K","-0.92%"
"04/08/2023","83.41","84.99","85.63","83.30","11.73K","-1.18%"
"03/08/2023","84.41","83.23","85.80","83.10","16.35K","1.45%"
"02/08/2023","83.20","84.65","84.99","83.01","21.26K","-1.68%"
"01/08/2023","84.62","86.85","87.83","84.40","22.39K","-2.52%"
"31/07/2023","86.81","88.34","89.42","86.37","15.97K","-2.13%"
"28/07/2023","88.70","90.92","90.92","88.16","16.24K","-2.44%"
"27/07/2023","90.92","90.79","91.28","89.23","15.51K","0.17%"
"26/07/2023","90.77","92.32","93.50","90.34","16.55K","-1.70%"
"25/07/2023","92.34","91.25","92.52","91.14","14.27K","1.15%"
"24/07/2023","91.29","91.82","92.59","90.53","14.37K","-0.58%"
"21/07/2023","91.82","90.80","92.30","90.33","14.12K","1.08%"
"20/07/2023","90.84","88.95","91.24","88.75","17.57K","2.09%"
"19/07/2023","88.98","88.10","89.40","87.05","15.48K","0.91%"
"18/07/2023","88.18","86.78","88.32","86.25","14.99K","1.61%"
"17/07/2023","86.78","85.93","86.81","85.18","12.73K","0.50%"
"14/07/2023","86.35","85.82","87.65","85.82","10.62K","0.55%"
"13/07/2023","85.88","85.86","86.96","85.32","11.32K","0.06%"
"12/07/2023","85.83","87.03","88.32","85.68","15.76K","-1.40%"
"11/07/2023","87.05","86.34","87.22","85.11","15.21K","0.92%"
"10/07/2023","86.26","86.16","87.17","85.48","12.70K","0.13%"
"07/07/2023","86.15","86.05","87.85","85.83","12.12K","-0.16%"
"06/07/2023","86.29","85.70","86.45","85.33","14.12K","0.56%"
"05/07/2023","85.81","87.06","87.32","85.71","15.08K","-2.14%"
"04/07/2023","87.69","87.41","88.10","86.68","10.26K","0.13%"
"03/07/2023","87.58","89.12","89.83","87.18","13.06K","-2.22%"
"30/06/2023","89.57","88.10","89.61","87.11","12.88K","1.63%"
"29/06/2023","88.13","87.34","88.82","87.24","12.33K","-0.09%"
"28/06/2023","88.21","89.67","89.70","86.98","13.96K","-0.99%"
"27/06/2023","89.09","86.49","89.17","85.80","14.66K","3.01%"
"26/06/2023","86.49","87.69","89.65","85.89","16.58K","-1.21%"
"23/06/2023","87.55","90.90","90.90","87.55","14.05K","-3.74%"
"22/06/2023","90.95","90.20","91.20","88.33","18.31K","0.11%"
"21/06/2023","90.85","94.41","95.40","90.39","27.35K","-3.87%"
"20/06/2023","94.51","93.09","96.00","92.85","23.51K","1.37%"
"19/06/2023","93.23","91.70","93.65","90.30","15.15K","1.43%"
"16/06/2023","91.92","92.92","93.18","90.50","19.81K","-1.09%"
"15/06/2023","92.93","93.51","95.18","91.51","29.19K","-0.74%"
"14/06/2023","93.62","90.46","93.99","89.91","28.12K","3.20%"
"13/06/2023","90.72","88.00","91.03","86.91","30.35K","2.83%"
"12/06/2023","88.22","86.75","88.46","84.88","17.45K","2.41%"
"09/06/2023","86.14","83.75","87.30","83.50","17.41K","3.35%"
"08/06/2023","83.35","83.99","84.95","82.63","15.10K","-0.61%"
"07/06/2023","83.86","81.64","84.19","80.10","18.61K","2.72%"
"06/06/2023","81.64","83.00","83.48","80.28","17.91K","-1.47%"
"05/06/2023","82.86","79.05","83.25","78.01","23.97K","5.53%"
"02/06/2023","78.52","78.95","80.47","78.52","15.52K","-0.54%"
"01/06/2023","78.95","80.78","81.10","78.47","22.48K","-2.25%"
"31/05/2023","80.77","80.45","81.97","79.32","21.92K","0.49%"
"30/05/2023","80.38","83.05","83.34","80.36","24.55K","-3.16%"
"29/05/2023","83.00","83.01","84.46","82.67","4.74K","-0.16%"
"26/05/2023","83.13","82.75","83.37","81.94","14.76K","0.61%"
"25/05/2023","82.63","85.03","85.15","82.63","20.74K","-2.55%"
"24/05/2023","84.79","85.81","86.26","84.55","13.80K","-1.18%"
"23/05/2023","85.80","87.40","87.72","85.36","16.12K","-1.66%"
"22/05/2023","87.25","89.43","89.71","86.77","15.35K","-2.44%"
"19/05/2023","89.43","89.66","91.24","89.33","12.79K","-0.25%"
"18/05/2023","89.65","88.49","90.21","87.92","9.13K","1.83%"
"17/05/2023","88.04","88.77","89.75","87.55","11.44K","-1.00%"
"16/05/2023","88.93","87.14","89.20","86.66","13.11K","2.05%"
"15/05/2023","87.14","88.50","89.19","86.13","15.99K","-2.01%"
"12/05/2023","88.93","88.54","89.67","88.14","9.38K","0.41%"
"11/05/2023","88.57","89.22","90.12","87.68","16.42K","-0.55%"
"10/05/2023","89.06","87.69","89.75","87.20","16.36K","1.77%"
"09/05/2023","87.51","85.57","87.75","85.20","14.24K","2.24%"
"08/05/2023","85.59","85.00","85.99","84.50","6.33K","0.74%"
"05/05/2023","84.96","84.66","86.90","84.30","12.00K","0.54%"
"04/05/2023","84.50","85.29","85.71","83.25","17.53K","-0.76%"
"03/05/2023","85.15","89.00","89.35","84.00","24.91K","-3.81%"
"02/05/2023","88.52","85.66","90.82","85.42","21.01K","3.37%"
"01/05/2023","85.63","87.39","88.36","85.50","4.52K","-2.30%"
"28/04/2023","87.65","86.49","88.11","86.13","11.92K","1.12%"
"27/04/2023","86.68","85.94","87.90","85.40","18.54K","0.51%"
"26/04/2023","86.24","86.90","87.00","85.16","19.49K","-0.66%"
"25/04/2023","86.81","88.58","88.91","86.53","20.94K","-1.98%"
"24/04/2023","88.56","90.11","90.11","87.59","17.79K","-1.45%"
"21/04/2023","89.86","91.95","92.41","89.25","16.35K","-2.05%"
"20/04/2023","91.74","94.45","94.66","91.18","18.42K","-2.81%"
"19/04/2023","94.39","95.30","96.47","94.18","12.80K","-0.80%"
"18/04/2023","95.15","92.98","95.60","92.33","14.37K","2.41%"
"17/04/2023","92.91","94.14","94.75","92.16","11.40K","-1.28%"
"14/04/2023","94.11","94.39","94.99","93.16","11.55K","-0.30%"
"13/04/2023","94.39","96.15","96.50","93.10","14.93K","-1.95%"
"12/04/2023","96.27","97.53","98.21","95.09","16.89K","-1.23%"
"11/04/2023","97.47","96.75","98.43","96.72","12.46K","0.74%"
"06/04/2023","96.75","97.00","97.90","96.00","","-0.27%"
"05/04/2023","97.01","94.97","98.00","94.78","17.83K","2.14%"
"04/04/2023","94.98","96.00","97.35","94.63","15.77K","-1.06%"
"03/04/2023","96.00","91.75","96.16","91.69","15.34K","4.63%"
"31/03/2023","91.75","90.93","92.89","90.71","14.19K","1.05%"
"30/03/2023","90.80","90.43","91.76","89.55","15.57K","0.87%"
"29/03/2023","90.02","89.47","91.10","89.33","12.36K","0.69%"
"28/03/2023","89.40","87.62","90.56","87.62","15.63K","1.44%"
"27/03/2023","88.13","88.02","89.19","86.73","13.64K","3.20%"
"24/03/2023","85.40","89.96","91.02","84.18","1.11K","-5.30%"
"23/03/2023","90.18","87.45","90.40","87.45","1.51K","4.10%"
"22/03/2023","86.63","87.10","87.68","85.50","2.03K","-0.86%"
"21/03/2023","87.38","86.16","88.40","85.69","2.19K","2.58%"
"20/03/2023","85.18","83.70","86.00","82.13","2.39K","-0.46%"
"17/03/2023","85.57","85.68","87.07","83.43","0.64K","0.35%"
"16/03/2023","85.27","88.30","88.30","83.71","2.79K","-1.59%"
"15/03/2023","86.65","90.36","91.23","86.53","1.93K","-3.43%"
"14/03/2023","89.73","92.91","93.54","89.55","1.15K","-3.51%"
"13/03/2023","92.99","96.30","96.30","92.37","2.06K","-3.97%"
"10/03/2023","96.83","95.53","96.93","95.30","2.42K","1.50%"
"09/03/2023","95.40","95.75","96.64","93.86","1.56K","0.68%"
"08/03/2023","94.76","93.52","95.73","93.50","3.12K","2.04%"
"07/03/2023","92.87","91.12","93.59","91.11","1.28K","3.23%"
"06/03/2023","89.96","90.50","91.35","89.05","0.52K","0.77%"
"03/03/2023","89.27","90.00","90.17","88.47","0.71K","-0.92%"
"02/03/2023","90.10","94.77","95.00","89.87","0.40K","-3.94%"
"01/03/2023","93.80","96.10","96.26","93.52","0.39K","-2.17%"
"28/02/2023","95.88","96.90","97.20","95.88","1.01K","-1.05%"
"27/02/2023","96.90","95.64","96.94","95.31","0.55K","2.23%"
"24/02/2023","94.79","94.93","96.03","94.10","0.24K","1.01%"
"23/02/2023","93.84","93.47","94.98","93.26","0.80K","0.42%"
"22/02/2023","93.45","97.12","97.12","93.36","0.26K","-3.78%"
"21/02/2023","97.12","95.43","97.99","94.00","0.53K","2.11%"
"20/02/2023","95.11","94.63","96.70","93.96","0.68K","1.91%"
"17/02/2023","93.33","94.95","95.42","92.55","0.60K","-1.89%"
"16/02/2023","95.13","91.68","95.13","91.68","0.56K","3.96%"
"15/02/2023","91.51","88.51","91.58","88.10","2.06K","3.26%"
"14/02/2023","88.62","90.25","90.25","87.24","0.75K","-0.82%"
"13/02/2023","89.35","90.10","90.63","89.00","0.24K","-1.21%"
"10/02/2023","90.44","88.00","90.44","88.00","1.21K","2.20%"
"09/02/2023","88.49","87.60","89.92","87.23","0.53K","1.03%"
"08/02/2023","87.59","87.20","88.96","86.70","0.14K","-0.35%"
"07/02/2023","87.90","88.20","88.36","86.50","0.29K","-0.07%"
"06/02/2023","87.96","90.44","92.34","87.80","0.44K","-3.23%"
"03/02/2023","90.90","91.82","92.98","90.41","0.75K","0.28%"
"02/02/2023","90.65","92.80","93.96","89.23","1.06K","-2.16%"
"01/02/2023","92.65","90.00","94.26","90.00","0.61K","2.80%"
"31/01/2023","90.13","87.18","90.33","86.43","2.81K","3.35%"
"30/01/2023","87.21","87.05","87.56","85.84","1.54K","0.31%"
"27/01/2023","86.94","86.81","88.00","86.37","1.19K","0.15%"
"26/01/2023","86.81","82.19","86.90","81.65","0.95K","5.51%"
"25/01/2023","82.28","79.46","82.40","78.90","0.30K","3.34%"
"24/01/2023","79.62","81.93","82.21","79.10","0.65K","-2.67%"
"23/01/2023","81.80","82.59","83.32","81.70","0.44K","-0.97%"
"20/01/2023","82.60","81.92","82.72","81.01","0.84K","0.90%"
"19/01/2023","81.86","80.89","82.73","80.78","0.69K","0.54%"
"18/01/2023","81.42","76.90","81.42","76.85","1.03K","5.45%"
"17/01/2023","77.21","75.25","77.70","74.75","0.56K","2.85%"
"16/01/2023","75.07","76.80","76.98","75.07","0.73K","-2.76%"
"13/01/2023","77.20","77.49","78.00","75.82","0.48K","-0.72%"
"12/01/2023","77.76","76.73","77.90","76.25","0.11K","1.46%"
"11/01/2023","76.64","78.25","79.11","76.24","1.41K","-2.22%"
"10/01/2023","78.38","79.74","79.79","77.94","1.75K","-0.91%"
"09/01/2023","79.10","74.80","79.58","74.80","1.21K","4.70%"
"06/01/2023","75.55","76.00","77.33","75.00","0.43K","-0.91%"
"05/01/2023","76.24","75.35","77.43","74.85","0.84K","1.11%"
"04/01/2023","75.40","80.29","80.29","75.24","0.75K","-6.24%"
"03/01/2023","80.42","83.00","83.00","79.49","0.91K","-3.88%"
"02/01/2023","83.67","80.17","83.68","80.17","0.21K","5.38%"
"30/12/2022","79.40","82.00","82.80","78.23","1.80K","-3.59%"
"29/12/2022","82.36","83.85","83.85","81.87","0.47K","-2.10%"
"28/12/2022","84.13","86.02","86.02","83.85","0.90K","-2.27%"
"27/12/2022","86.08","85.92","88.50","85.55","0.30K","-0.89%"
"23/12/2022","86.85","87.46","88.05","86.08","0.33K","0.00%"
"22/12/2022","86.85","85.71","87.95","84.95","0.49K","1.46%"
"21/12/2022","85.60","86.22","86.22","84.25","1.74K","-1.46%"
"20/12/2022","86.87","84.60","88.02","83.85","0.73K","2.57%"
"19/12/2022","84.69","86.57","86.65","83.85","1.11K","1.21%"
"16/12/2022","83.68","85.24","86.33","83.07","14.70K","-1.78%"
"15/12/2022","85.20","86.19","87.64","85.00","19.65K","-1.15%"
"14/12/2022","86.19","88.44","89.40","84.76","24.19K","-3.15%"
"13/12/2022","88.99","90.15","90.15","87.16","21.22K","-0.91%"
"12/12/2022","89.81","87.50","90.41","87.40","17.50K","2.37%"
"09/12/2022","87.73","88.65","89.16","86.75","15.17K","-1.35%"
"08/12/2022","88.93","88.15","89.54","87.62","17.00K","0.84%"
"07/12/2022","88.19","88.29","88.67","86.13","20.68K","-0.47%"
